외국인투자기업정보,,,,,,,,,,,
,,,,,,,,,,,
회사명(한글),회사명(영문),전화번호,우편번호,주소,표준산업중분류명,표준산업분류명,표준산업분류코드,외투기업최초등록일자,대표업종,대표투자국가,업체유형
쾁티엔터프라이즈,KWAB TEE ENTERPRISE,010-8672-6694,413874,경기 파주시 법원읍 대능리 98-5,도?소매(유통),상품 종합 도매업,46800,20100127,쾁티엔터프라이즈,가나,개인사업자
(무)무버,"MOOOVR, INC.",02-786-8611,463400,"경기도 성남시 분당구 대왕판교로 (삼평동 ) 670, 유스페이스2 비동 403호",비즈니스서비스업,온라인?모바일 게임 소프트웨어 개발 및 공급업,58211,20140508,게임용 소프트웨어 개발 및 공급업,케이만군도,법인기업
(유) 안텍코리아,"AHNTECH, KOREA LLC.",011-1988-1067,230902,강원 영월군 상동읍 천평리 43 상동부대 상도우체국 사서함 2호,비즈니스서비스업,기타 정보기술 및 컴퓨터운영 관련 서비스업,62090,20081117,기타 컴퓨터운용 관련업,미국,법인기업
(유)골든바이오테크놀로지코리아,GOLDEN BIOTECHNOLOGY KOREA LLC,,137888,"서울특별시 서초구 바우뫼로 (양재동 에이스빌딩) 179, 3층",도?소매(유통),기타 가공식품 도매업,46329,20160518,일반식품의 수출입 및 도소매,일본,법인기업
(유)그랜드유니버셜트레이딩코리아,GRAND UNIVERSAL TRADING (KOREA) LIMITED,562-0791,135815,"서울특별시 강남구 강남대로132길 55 (논현동, 광림빌딩 5층)",도?소매(유통),상품 종합 도매업,46800,20130128,제지 수출업,말레이시아,법인기업
(유)기명엔지니어링,"GIMYUNG ENGINEERING CO.,LTD",626031511,502153,광주 서구 매월동 948 산업용재유통센타 6-215,금속,금속 조립구조재 제조업,25113,20120814,금속제조업,러시아,법인기업
(유)뉴마르스,NEW MARS COMPANY,055-288-0786,641846,경남 창원시 팔용동 14-5,도?소매(유통),상품 종합 도매업,46800,20050222,"무역업,수출입",파키스탄,법인기업
(유)다르희나모터스,DAR HEENA MOTORS,053-562-6570,704753,"대구광역시 달서구 와룡로 169 (감상동, 월드마크 웨스트엔드제판매시설동 107-211호)",도?소매(유통),상품 종합 도매업,46800,20010614,무역업,파키스탄,법인기업
(유)다이나믹,DYNAMIC CO. LTD,061-392-7734,506500,광주광역시 광산구 평동산단2번로 123(옥동),화공,"플라스틱 선, 봉, 관 및 호스 제조업",22211,20030414,플라스틱제품제조업,캐나다,법인기업
(유)다트디자인서울,DART DESIGN SEOUL LTD.,.,110801,"서울특별시 종로구 창덕궁1길 16 (원서동, 2층)",비즈니스서비스업,제품 디자인업,73202,20120928,전문디자인업,독일,법인기업
